المحصول,الفئة,موسم_الزراعة,مدة_النمو,نوع_التربة,احتياجات_الري,التسميد,المناخ_المناسب,ملاحظات
بنجر سكر,تصنيعية,شتوي (أكتوبر–نوفمبر),180–220 يوم,صفراء–طفلية,متوسط,NPK متوازن + بورون,بارد معتدل,حساس للملوحة العالية عند الإنبات
تبغ,تصنيعية,صيفي (مارس–أبريل),90–120 يوم,رملية–صفراء,متوسط,NPK خفيف + كالسيوم,حار معتدل,يُراعى التجفيف بعد الحصاد
طماطم,خضر,على مدار العام بعروات,90–120 يوم,صفراء جيدة الصرف,متوسط,كالسيوم + بوتاسيوم عالي + NPK,معتدل دافئ,حساسة للبرد واللفحة؛ تحتاج دعامة أحيانًا
بطاطس,خضر,عروات (صيفي–عجمي–شتوي),90–120 يوم,طينية صفراء مفككة,متوسط,بوتاسيوم عالي + فوسفور + كالسيوم,معتدل بارد,حساسة للمياه الراكدة والملوحة
فلفل رومي/حار,خضر,صيفي ونيلي وشتوي محمي,90–120 يوم,صفراء جيدة الصرف,متوسط,كالسيوم وبوتاسيوم + عناصر صغرى,دافئ,حساس للبرد والذبابة البيضاء
خيار,خضر,صيفي وبيوت محمية شتاء,45–70 يوم,صفراء–رملية,متوسط,بوتاسيوم عالي + نترات كالسيوم,دافئ رطب,يحتاج تعريش؛ حسّاس للعطش السريع
باذنجان,خضر,صيفي ونيلي,100–140 يوم,صفراء–طينية,متوسط,NPK + بوتاسيوم,حار معتدل,يتحمل الحرارة نسبيًا
كوسة,خضر,صيفي ونيلي,45–60 يوم,رملية–صفراء,متوسط,NPK خفيف + كالسيوم,معتدل دافئ,حساسة للبرد
بطيخ,خضر/ثمرية,صيفي مبكر,80–100 يوم,رملية جيدة الصرف,قليل–متوسط,بوتاسيوم عالي + مغنيسيوم,حار جاف,تحتاج عقد جيّد ونحل؛ حساسة لزيادة المياه بعد العقد
شمام/كانتلوب,خضر/ثمرية,صيفي,75–95 يوم,رملية–صفراء,قليل–متوسط,بوتاسيوم + كالسيوم,حار معتدل,تحسين الطعم بتقليل الري قبل الحصاد
قرع عسل,خضر/ثمرية,صيفي,90–120 يوم,رملية–صفراء,متوسط,NPK + بوتاسيوم,حار معتدل,تحمل نسبي للجفاف
فاصوليا خضراء,خضر,عروات متعددة,60–70 يوم,صفراء جيدة الصرف,متوسط,فسفور + كالسيوم,معتدل,حساسة للبرد
بسلة,خضر/بقول,شتوي (نوفمبر),70–90 يوم,طينية–صفراء,متوسط,فسفور + عناصر صغرى,بارد معتدل,تلائم الجو البارد
ملوخية,خضر,صيفي (مايو–أغسطس),45–60 يوم للتقزيم؛ تقطيعات متكررة,رملية–صفراء,متوسط,NPK خفيف + عضوي,حار معتدل,تتحمل الحر، قصّ متكرر يحسن الإنتاج
سبانخ,ورقيات,شتوي,40–60 يوم,طينية–صفراء,متوسط,آزوت + حديد عند الحاجة,بارد معتدل,يقل نموها بالحر
جرجير,ورقيات,شتوي–ربيعي,30–45 يوم,طينية–صفراء,متوسط,NPK خفيف,معتدل بارد,تقطيع متكرر
خس,ورقيات,شتوي–ربيعي,60–80 يوم,صفراء–طينية,متوسط,كالسيوم + بوتاسيوم,بارد معتدل,حساس للحرارة العالية
كرنب/ملفوف,ورقيات,شتوي,90–120 يوم,طينية–صفراء,متوسط,NPK + كالسيوم,بارد معتدل,حساس للذبابة واليرقات
قرنبيط,ورقيات,شتوي,90–120 يوم,طينية–صفراء,متوسط,بورون + كالسيوم مهمان,بارد معتدل,نقص البورون يسبب جوفاء الرأس
بروكلي,ورقيات,شتوي,80–100 يوم,صفراء جيدة الصرف,متوسط,NPK + كالسيوم + بورون,بارد معتدل,مثل القرنبيط
بنجر مائدة,جذريات,شتوي,90–120 يوم,صفراء–طفلية,متوسط,بوتاسيوم + بورون,بارد معتدل,حساس لنقص البورون
جزر,جذريات,شتوي–ربيعي,90–120 يوم,رملية–صفراء مفككة,متوسط,فسفور + بوتاسيوم,معتدل بارد,احتاج تربة مفككة لتفادي التفليق
بطاطا حلوة,جذريات,صيفي,90–120 يوم,رملية–صفراء,قليل–متوسط,بوتاسيوم + عضوي,حار معتدل,تتكاثر بالعُقل؛ تتحمل الجفاف
فجل,جذريات,شتوي,30–50 يوم,رملية–صفراء,متوسط,NPK خفيف,بارد معتدل,حصاد مبكر يحسن الجودة
لفت,جذريات,شتوي,60–90 يوم,صفراء–طينية,متوسط,NPK,بارد معتدل,يُستخدم للأكل والأعلاف
بصل,خضر/بصيلات,عروات (شتوي رئيسي),150–180 يوم,طينية–صفراء جيدة الصرف,متوسط,فوسفور + بوتاسيوم + كبريت,معتدل بارد,حساس للمياه الراكدة
ثوم,خضر/بصيلات,شتوي (أكتوبر–نوفمبر),180–210 يوم,طينية–صفراء,قليل–متوسط,فوسفور + بوتاسيوم + كبريت,بارد معتدل,استخدام فصوص سليمة مهم
كرات,ورقيات/بصيلات,شتوي,120–150 يوم,طينية–صفراء,متوسط,NPK + كالسيوم,بارد معتدل,يحتاج ري منتظم
كرفس,ورقيات,شتوي–ربيعي,90–120 يوم,طينية–صفراء,متوسط,بوتاسيوم + كالسيوم,معتدل,حساس للملوحة
بقدونس,ورقيات,على مدار العام,70–90 يوم,صفراء–طينية,متوسط,NPK خفيف,معتدل,إنباته بطيء
كزبرة,ورقيات/توابل,شتوي–ربيعي,60–90 يوم,صفراء–رملية,قليل–متوسط,NPK خفيف,معتدل,تزرع للبذور والأوراق
شبت,ورقيات/توابل,شتوي–ربيعي,45–70 يوم,صفراء,قليل–متوسط,NPK خفيف,معتدل,حصاد متكرر
مانجو,فاكهة,شتلات؛ تقليم ربيعي,تزهر ربيعًا؛ نضج صيف,طينية–صفراء جيدة الصرف,متوسط,NPK سنوي + بوتاسيوم قبل العقد + كالسيوم,حار معتدل بلا صقيع,حساسة للصقيع والرياح الساخنة
موالح (برتقال/يوسفي/ليمون),فاكهة,تُغرس الخريف/الربيع,إنتاج بعد 3–4 سنين,طينية–صفراء جيدة الصرف,متوسط,NPK + كالسيوم + رشة عناصر صغرى,معتدل,تحتاج ريات منتظمة خاصة صيفًا
بلح/نخيل,فاكهة,شتلات فسائل,إنتاج بعد 4–6 سنين,رملية–صفراء عميقة,قليل–متوسط,بوتاسيوم + فوسفور + عضوي,حار جاف,يتحمل الملوحة والجفاف
عنب,فاكهة,غرس شتوي؛ تقليم شتوي,إنضاج صيفي,طينية–صفراء جيدة الصرف,متوسط,NPK + كالسيوم + مغنيسيوم,معتدل دافئ,حساس للأمطار وقت التزهير
جوافة,فاكهة,ربيع/خريف,حصاد صيف–خريف,صفراء–طينية,متوسط,NPK سنوي + عناصر صغرى,حار معتدل,تتحمل نسبياً الملوحة
رمان,فاكهة,ربيع,حصاد أواخر الصيف–الخريف,رملية–صفراء,قليل–متوسط,بوتاسيوم + فوسفور,حار جاف,يُحسن الطعم بتقليل الري قبل الحصاد
موز,فاكهة,ربيع وصيف,9–12 شهر للدورة,طينية–صفراء خصبة,غزير,بوتاسيوم عالي + عضوي,حار رطب بلا برد,حسّاس للبرد والرياح
تين,فاكهة,ربيع,صيف–خريف,رملية–صفراء,قليل,NPK خفيف + عضوي,حار جاف,يتحمل الجفاف
تفاح,فاكهة متساقطة,شتاء,ربيع زهر؛ حصاد خريف,طينية–صفراء باردة,متوسط,NPK + كالسيوم,بارد معتدل (احتياج برودة),يحتاج ساعات برودة كافية
خوخ/نكتارين,فاكهة متساقطة,شتاء,حصاد ربيع–صيف,صفراء–طينية,متوسط,NPK + كالسيوم + بورون,بارد معتدل,حساس لمرض لفحة الأوراق
مشمش,فاكهة متساقطة,شتاء,ربيع زهر؛ صيف حصاد,صفراء,متوسط,NPK + بورون,بارد معتدل,يتضرر من الصقيع المتأخر
كمثرى,فاكهة متساقطة,شتاء,حصاد صيف–خريف,طينية–صفراء,متوسط,NPK + كالسيوم,بارد معتدل,يحتاج برودة
سفرجل,فاكهة متساقطة,شتاء,خريف,طينية–صفراء,متوسط,NPK,بارد معتدل,أصل للتحمّل
برقوق,فاكهة متساقطة,شتاء,صيف,صفراء–طينية,متوسط,NPK,بارد معتدل,احتياج برودة متوسط
فراولة,فاكهة/خضر,شتلات خريف,120–150 يوم؛ حصاد مستمر,رملية–صفراء,متوسط,كالسيوم + بوتاسيوم + عناصر صغرى,معتدل دافئ,حساسة للأملاح والرياح
بطيخ شتوي (كانتلوب),فاكهة/خضر,صيفي,75–95 يوم,رملية,قليل–متوسط,بوتاسيوم,حار معتدل,—
برسيم مصري,أعلاف,شتوي (أكتوبر),5–7 حشات/موسم,طينية–صفراء,متوسط–غزير,فوسفور + بوتاسيوم + كبريت,بارد معتدل,لا يتحمل الغمر المستمر
ذرة علفية,أعلاف,صيفي,60–80 يوم للحشة,رملية–صفراء,متوسط,NPK,حار معتدل,—
سورجم حلو,أعلاف,صيفي,60–80 يوم,رملية–صفراء,قليل–متوسط,NPK خفيف,حار جاف,تحمل للعطش
راي جراس,أعلاف,شتوي,3–5 حشات,صفراء–طينية,متوسط,آزوت متكرر,بارد معتدل,—
نعناع,طبية/عطرية,ربيع وخريف,60–90 يوم للحشة,طينية–صفراء,متوسط,NPK خفيف + عضوي,معتدل,حساس للمياه الراكدة
بابونج,طبية/عطرية,شتوي,90–120 يوم,صفراء,قليل–متوسط,NPK خفيف,بارد معتدل,—
حلبة,طبية/عطرية,شتوي,90–120 يوم,صفراء–رملية,قليل,فسفور,بارد معتدل,—
كمون,طبية/عطرية,شتوي,120–150 يوم,رملية–صفراء,قليل,NPK خفيف,معتدل بارد,حساس للأمطار وقت النضج
شمر,طبية/عطرية,شتوي–ربيعي,120–150 يوم,صفراء,قليل–متوسط,NPK خفيف,معتدل,—
كراوية,طبية/عطرية,شتوي,120–150 يوم,رملية–صفراء,قليل,NPK خفيف,بارد معتدل,—
ريحان,طبية/عطرية,صيفي–ربيعي,60–90 يوم للحشة,صفراء–طينية,متوسط,NPK خفيف,دافئ,—
زعتر,طبية/عطرية,ربيعي,90–120 يوم,رملية–صفراء,قليل,NPK خفيف,معتدل جاف,—
مريمية,طبية/عطرية,ربيعي,120–150 يوم,رملية–صفراء,قليل,NPK خفيف,معتدل جاف,—
قصب ريشة (سوداني),أخرى,صيفي,10–12 شهر,طينية–صفراء,غزير,عضوي + بوتاسيوم,حار,أعلاف/عيدان
كسبرة بذر,توابل,شتوي,120–150 يوم,صفراء–رملية,قليل,NPK خفيف,معتدل,للتوابل الجافة
فلفل أسود (غير شائع),توابل,مداري محمي,سنوي/معاوش,طميّة خصبة,غزير,عضوي + بوتاسيوم,حار رطب,للدراسات/مشاريع خاصة
زنجبيل (تجارب),طبية/عطرية,مداري محمي,8–10 أشهر,طميّة خفيفة,متوسط,عضوي + بوتاسيوم,دافئ رطب,نجاح محدود حقليًا
كركم (تجارب),طبية/عطرية,مداري محمي,8–10 أشهر,طميّة خفيفة,متوسط,عضوي + بوتاسيوم,دافئ رطب,—
صبار/ألوڤيرا,طبية/صناعية,ربيعي,سنة+,رملية–صفراء,قليل جدًا,عضوي خفيف,حار جاف,تحمل قوي للعطش
تين شوكي,فاكهة/سياجي,ربيعي,سنة+,رملية–صخرية,قليل جدًا,عضوي خفيف,حار جاف,تحمل ملوحة وعطش
رُبى/دوار الشمس,محاصيل زيتية,صيفي,90–110 يوم,صفراء–طينية,متوسط,بوتاسيوم + فوسفور,حار معتدل,يتأثر بالرياح وقت التزهير
لفت علفي,أعلاف,شتوي,60–90 يوم,طينية–صفراء,متوسط,NPK,بارد معتدل,—
بنجر علفي,أعلاف,شتوي,150–180 يوم,صفراء–طفلية,متوسط,بوتاسيوم + بورون,بارد معتدل,—
حبة البركة,طبية/عطرية,شتوي,120–150 يوم,صفراء–رملية,قليل,NPK خفيف,معتدل,—
كركديه,طبية/عطرية,صيفي,150–180 يوم,رملية–صفراء,متوسط,NPK خفيف,حار معتدل,للكؤوس الحمراء
رجلة,خضر ورقية,صيفي,40–60 يوم,رملية–صفراء,قليل–متوسط,NPK خفيف,حار,تحمل حر وملوحة
خرشوف,خضر,شتوي/متعدد,180–240 يوم,طينية–صفراء,متوسط,بوتاسيوم + كالسيوم,بارد معتدل,يحتاج برودة شتوية
كراث,ورقيات,شتوي,120–150 يوم,طينية–صفراء,متوسط,NPK + كالسيوم,بارد معتدل,—
كسكس/حلبة خضراء,أعلاف/خضر,شتوي,60–90 يوم,صفراء–طينية,متوسط,NPK خفيف,بارد معتدل,—
قرط/جُلبان,بقوليات,شتوي,110–130 يوم,صفراء,قليل–متوسط,فسفور,بارد معتدل,—
لوبيا علف,أعلاف/بقول,صيفي,60–80 يوم,رملية–صفراء,متوسط,NPK خفيف,حار معتدل,—
بنجر موائد ملون,جذريات,شتوي,90–120 يوم,صفراء–طفلية,متوسط,بوتاسيوم + بورون,بارد معتدل,للتصنيع
باميا,خضر,صيفي,60–80 يوم,رملية–صفراء,قليل–متوسط,NPK خفيف + كالسيوم,حار معتدل,تتحمل الحر
ورق عنب (أوراق),خضر/فاكهة,ربيعي,حصاد أوراق موسمي,صفراء–طينية,متوسط,NPK,معتدل,—
طماطم شيري,خضر,عروات متعددة,80–100 يوم,صفراء جيدة الصرف,متوسط,بوتاسيوم + كالسيوم,معتدل دافئ,أعلى تحمل نسبي
فلفل ألوان,خضر,بيوت محمية/عروات,120–150 يوم,صفراء,متوسط,بوتاسيوم + كالسيوم,دافئ,يحتاج إدارة دقيقة
قرع كوسة (لب بذور),تصنيعية/خضر,صيفي,90–110 يوم,رملية,قليل–متوسط,بوتاسيوم,حار معتدل,للبذور المحمصة
فول أخضر,بقول/خضر,شتوي,100–120 يوم,طينية–صفراء,متوسط,فسفور + كالسيوم,بارد معتدل,—
سلق,ورقيات,شتوي–ربيعي,60–80 يوم,صفراء–طينية,متوسط,NPK خفيف + مغنيسيوم,معتدل,—
هندباء/جرجير بري,ورقيات,شتوي–ربيعي,40–60 يوم,رملية–صفراء,قليل–متوسط,NPK خفيف,معتدل,—
قثاء,خضر,صيفي,60–75 يوم,رملية–صفراء,متوسط,بوتاسيوم,حار معتدل,—
يقطين بلدي,خضر/تصنيعية,صيفي,100–130 يوم,رملية–صفراء,متوسط,NPK + بوتاسيوم,حار معتدل,—
كرنب أحمر,ورقيات,شتوي,90–120 يوم,طينية–صفراء,متوسط,NPK + كالسيوم,بارد معتدل,—
كرنب بروكسل,ورقيات,شتوي,120–150 يوم,طينية–صفراء,متوسط,NPK + كالسيوم,بارد معتدل,—
مارجورام (بردقوش),طبية/عطرية,ربيعي,120–150 يوم,رملية–صفراء,قليل,NPK خفيف,معتدل,—
زيتون,فاكهة/زيتية,غرس خريفي/ربيعي,إثمار بعد 3–4 سنين,صخرية–رملية–صفراء,قليل–متوسط,بوتاسيوم + فوسفور + عناصر صغرى,حار جاف,يتحمل الملوحة والجفاف
أفوكادو (تجارب),فاكهة,ربيعي,إثمار بعد 3–4 سنين,صفراء جيدة الصرف,متوسط,NPK + كالسيوم + مغنيسيوم,دافئ بلا صقيع,نجاح محدود في الصقيع
بابايا (تجارب),فاكهة,ربيعي,9–12 شهر,رملية–صفراء,متوسط,بوتاسيوم + عضوي,حار رطب,ملائمة في جنوب مصر
